iter	Passed	Remaining
0	0	79
1	1	74
2	2	70
3	2	66
4	3	67
5	4	68
6	5	69
7	5	68
8	6	68
9	7	68
10	8	67
11	9	68
12	9	66
13	10	66
14	11	66
15	12	65
16	13	64
17	14	63
18	14	63
19	15	62
20	16	62
21	17	61
22	18	61
23	19	60
24	20	60
25	21	59
26	21	59
27	22	59
28	23	58
29	24	58
30	26	58
31	27	57
32	28	57
33	29	56
34	30	56
35	31	55
36	31	54
37	32	53
38	33	53
39	34	52
40	35	51
41	36	49
42	37	49
43	38	48
44	38	47
45	40	46
46	40	46
47	41	45
48	42	44
49	43	43
50	44	42
51	45	41
52	46	41
53	47	40
54	47	39
55	48	38
56	49	37
57	50	36
58	51	36
59	52	35
60	53	34
61	54	33
62	55	32
63	57	32
64	58	31
65	59	30
66	60	29
67	61	28
68	62	27
69	63	27
70	64	26
71	65	25
72	66	24
73	67	23
74	68	22
75	69	22
76	70	21
77	71	20
78	73	19
79	74	18
80	75	17
81	76	16
82	77	15
83	78	14
84	79	14
85	80	13
86	81	12
87	82	11
88	83	10
89	84	9
90	85	8
91	86	7
92	87	6
93	88	5
94	89	4
95	90	3
96	91	2
97	92	1
98	93	0
99	94	0
